outcome,tract,metric,node,t,p,hemisphere,N,covariates,extent_threshold,cluster_p,passed
MONETARY_FABias,anterior_l_vta_l_hipp,FA,0,0.2119629872697456,0.8330723091512674,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,1,0.2000533709196569,0.8423206458170361,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,2,0.1750035809803385,0.8618448549669293,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,3,0.1423213383929947,0.8874477377889286,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,4,0.1121642004204333,0.9111812486135684,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,5,0.1078043113266303,0.9146197687084194,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,6,0.0899208210586143,0.9287405302964664,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,7,0.1097441702407475,0.913089649520795,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,8,0.1495691248720765,0.8817584264637202,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,9,0.1784424353953072,0.8591590979303732,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,10,0.2233165528114891,0.8242779106744844,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,11,0.2592065003859725,0.796632417713765,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,12,0.2928647048887635,0.7709426426937068,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,13,0.3407799711530177,0.7348207921724453,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,14,0.4261743857128379,0.6719684681852744,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,15,0.5343126272918366,0.5956983607492626,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,16,0.6347149391211002,0.5287587689628006,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,17,0.7365431823086662,0.465140100035498,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,18,0.8315932016693047,0.4099347588747025,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,19,0.908534546788339,0.3683314312158109,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,20,0.9658867910819878,0.3391516484133871,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,21,0.9996290134199732,0.3227196846930501,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,22,1.003255405145952,0.3209861310529594,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,23,1.008452468838749,0.3185127106163196,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,24,0.9996006635363788,0.3227332618193157,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,25,1.0006438995739146,0.3222338960065583,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,26,1.0052604503763156,0.3200303453084197,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,27,1.006597886706438,0.3193938720814764,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,28,1.0020012436977337,0.3215849559928151,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,29,1.007668596717534,0.3188849483585301,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,30,0.9967561475362609,0.3240974935273735,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,31,0.9741607833729976,0.3350718766485646,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,32,0.928907362335716,0.3577860977524756,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,33,0.8866732010509619,0.3798671754163022,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,34,0.8338193611618675,0.4086918448496336,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,35,0.7672742600517722,0.4468389386194078,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,36,0.7050955748978516,0.4843059173371304,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,37,0.6401437320376123,0.5252550421004709,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,38,0.5780918784607088,0.5660215565552709,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,39,0.5102245217146634,0.6123338688768268,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,40,0.4411964583803775,0.6611376320525152,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,41,0.3797078554265166,0.7059097228032659,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,42,0.3390706977323606,0.7360995459521396,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,43,0.3151489943405027,0.7540737727891402,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,44,0.3214156971045147,0.7493513257963714,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,45,0.3507816233377185,0.7273536053217617,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,46,0.3963464782444724,0.6936820996685555,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,47,0.4778763577358694,0.63500137262821,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,48,0.5950093007957599,0.554753135369972,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,49,0.7140480343256931,0.4788051935080079,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,50,0.8231261151817579,0.4146832830037132,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,51,0.9302056052373386,0.3571208188773239,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,52,1.0336928591454264,0.306683863718879,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,53,1.1409201982409494,0.2598082934970609,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
MONETARY_FABias,anterior_l_vta_l_hipp,FA,54,1.2472506382474224,0.2186185414476506,L,53,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,,0
