outcome,tract,metric,node,t,p,hemisphere,N,covariates,extent_threshold,cluster_p,passed
SOCIAL_FABias,l_vta_l_hipp,FA,0,-0.4262,0.67201,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,1,-0.2316,0.8179,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,2,-0.0582,0.95389,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,3,0.1059,0.91616,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,4,0.2796,0.78109,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,5,0.4274,0.67116,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,6,0.5697,0.57174,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,7,0.6708,0.50578,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,8,0.8091,0.42272,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,9,0.9387,0.35288,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,10,1.0482,0.30012,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,11,1.1351,0.26234,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,12,1.2106,0.23235,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,13,1.2475,0.21866,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,14,1.2629,0.21312,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,15,1.2286,0.2256,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,16,1.1557,0.25391,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,17,1.0672,0.29159,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,18,0.9503,0.34703,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,19,0.8392,0.40582,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,20,0.7367,0.46513,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,21,0.636,0.52798,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,22,0.5316,0.59759,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,23,0.4344,0.6661,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,24,0.3621,0.71897,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
